function,article,prep,number,quant,anger,friend,cause,hear,bio,time,swear,netspeak,Type
47.93,8.79,14.47,3.31,2.36,0.61,0.04,2.25,0.3,0.57,4.26,0,0.11,Fake
41.92,9.29,16.36,2.52,1.84,0.1,0.58,1.84,0.48,1.94,3.19,0.1,0.29,Fake
42.79,10.05,14.76,2.87,2.26,1.3,0,2.05,0.14,0.34,3.69,0,0.21,Fake
47.05,10.69,15.33,1.74,1.86,2.26,0.16,1.9,0.08,0.75,3.8,0,0.04,Fake
43.79,7.91,14.37,2.08,1.94,0.56,0,2.36,0.28,1.32,4.02,0,0.14,Fake
44.61,9.88,16.15,1.78,1.63,0.73,0.12,1.66,0.35,0.32,3.82,0,0.12,Fake
47.22,10.48,14.88,2.07,2.2,0.26,0,2.46,0.26,0.65,5.3,0,0,Fake
40.41,11.57,16.11,2.49,1.32,0.29,0.15,3.37,0.73,1.46,5.71,0,0,Fake
42.62,8.74,15.85,2.95,1.64,1.86,0,0.55,1.42,0.87,5.79,0,0.11,Fake
43.33,7.86,15.71,3.69,1.43,0.24,0,3.1,0.12,2.86,4.64,0,0,Fake
48.62,4.74,14.03,0.99,1.98,1.78,0,1.19,0.4,1.38,3.36,0.4,0.2,Fake
44.73,9.7,17.94,3.25,2.3,1.79,0.11,2.41,0.11,0.67,3.53,0,0,Fake
45.79,7.34,12.02,1.2,2.27,0.53,0,2.67,1.07,0.67,2.94,0,0.13,Fake
47.58,11.43,13.51,1.39,1.62,1.15,0,1.15,0.69,0.58,6.24,0,0,Fake
50.18,8.42,13.55,1.83,2.2,0.37,0.55,2.38,0.18,0.18,6.23,0,0,Fake
44.23,6.75,13.41,1.63,1.87,0.89,0.16,1.3,0.57,0.49,5.77,0.33,0.08,Fake
41.7,7.1,11.8,3.67,2.75,0.34,0,2.63,0,10.08,4.93,0,0,Fake
38.93,8.49,15.13,7.93,2.4,0.37,0,1.85,0.55,1.11,5.54,0,0.18,Fake
42.47,10.87,13.7,1.93,2.83,1.13,0.23,0.79,1.36,0.45,3.74,0,0,Fake
41.5,7.48,12.52,2.06,0.93,2.24,0.19,1.68,1.87,1.31,4.11,0.19,0.37,Fake
